NCTId,Country,OverallStatus,StopCategory,StartYear
NCT03541330,France,TERMINATED,Other,2018
NCT01230788,United States,TERMINATED,Low enrollment/accrual,2010
NCT04100070,France,UNKNOWN,No reason recorded,2019
NCT03406273,United States,WITHDRAWN,Low enrollment/accrual,2017
NCT04326374,China,UNKNOWN,No reason recorded,2019
NCT05871086,Egypt,UNKNOWN,No reason recorded,2023
NCT03169894,United States,TERMINATED,Sponsor/business decision,2017
NCT03115164,France,UNKNOWN,No reason recorded,2016
NCT04204109,Denmark,TERMINATED,COVID-19,2020
NCT04258592,Belgium,TERMINATED,Low enrollment/accrual,2020
NCT00047138,France,UNKNOWN,No reason recorded,2001
NCT00047138,Netherlands,UNKNOWN,No reason recorded,2001
NCT00047138,Germany,UNKNOWN,No reason recorded,2001
NCT00047138,United Kingdom,UNKNOWN,No reason recorded,2001
NCT00173355,Taiwan,UNKNOWN,No reason recorded,2005
NCT00526318,Switzerland,UNKNOWN,No reason recorded,2007
NCT00526318,Germany,UNKNOWN,No reason recorded,2007
NCT04731974,United States,UNKNOWN,No reason recorded,2023
NCT01861990,United States,WITHDRAWN,Other,2013
NCT03564704,China,UNKNOWN,No reason recorded,2016
NCT01438385,United States,UNKNOWN,No reason recorded,2011
NCT04909515,Hong Kong,WITHDRAWN,Sponsor/business decision,2021
NCT04909515,Russia,WITHDRAWN,Sponsor/business decision,2021
NCT04909515,South Korea,WITHDRAWN,Sponsor/business decision,2021
NCT04909515,Singapore,WITHDRAWN,Sponsor/business decision,2021
NCT03474133,Russia,UNKNOWN,No reason recorded,2019
NCT04671901,United States,TERMINATED,Low enrollment/accrual,2020
NCT01399281,Italy,UNKNOWN,No reason recorded,2011
NCT02476994,United States,TERMINATED,Regulatory,2015
NCT01502150,United States,UNKNOWN,No reason recorded,2005
NCT04547829,China,UNKNOWN,No reason recorded,2020
NCT04598204,China,UNKNOWN,No reason recorded,2017
NCT00511017,United States,TERMINATED,Low enrollment/accrual,2007
NCT04500548,Canada,WITHDRAWN,Low enrollment/accrual,2021
NCT04500548,United States,WITHDRAWN,Low enrollment/accrual,2021
NCT04374838,Egypt,UNKNOWN,No reason recorded,2020
NCT04753658,South Korea,TERMINATED,Other,2021
NCT04753658,Australia,TERMINATED,Other,2021
NCT04753658,Portugal,TERMINATED,Other,2021
NCT04753658,United States,TERMINATED,Other,2021
NCT04753658,Sweden,TERMINATED,Other,2021
NCT04753658,New Zealand,TERMINATED,Other,2021
NCT01442415,United States,TERMINATED,Low enrollment/accrual,2011
NCT03613389,Egypt,UNKNOWN,No reason recorded,2020
NCT03846362,Russia,UNKNOWN,No reason recorded,2019
NCT00673179,United States,TERMINATED,Low enrollment/accrual,2008
NCT02337309,United States,TERMINATED,Low enrollment/accrual,2015
NCT05051800,United States,TERMINATED,Low enrollment/accrual,2019
NCT01205334,United States,TERMINATED,Low enrollment/accrual,2010
NCT04567251,United States,TERMINATED,Low enrollment/accrual,2021
NCT01604941,Egypt,TERMINATED,Other,2012
NCT01604941,Lebanon,TERMINATED,Other,2012
NCT01604941,Italy,TERMINATED,Other,2012
NCT01604941,Canada,TERMINATED,Other,2012
NCT01604941,United States,TERMINATED,Other,2012
NCT04743544,Turkey (Türkiye),UNKNOWN,No reason recorded,2019
NCT04888195,Hong Kong,UNKNOWN,No reason recorded,2021
NCT05261256,Germany,UNKNOWN,No reason recorded,2022
NCT04239092,United States,TERMINATED,Safety concerns,2020
NCT03396575,United States,TERMINATED,Other,2018
NCT02141100,Denmark,WITHDRAWN,No reason recorded,2014
NCT05569512,United States,TERMINATED,Sponsor/business decision,2022
NCT05922566,China,UNKNOWN,No reason recorded,2023
NCT03793088,United States,UNKNOWN,No reason recorded,2019
NCT01200017,United States,NO_LONGER_AVAILABLE,No reason recorded,Not listed
NCT04037189,Israel,UNKNOWN,No reason recorded,2019
NCT04700514,South Korea,UNKNOWN,No reason recorded,2021
NCT05434871,Turkey (Türkiye),UNKNOWN,No reason recorded,2022
NCT04485104,Italy,TERMINATED,Low enrollment/accrual,2021
NCT04485104,United States,TERMINATED,Low enrollment/accrual,2021
NCT04485104,Spain,TERMINATED,Low enrollment/accrual,2021
NCT01697514,United States,WITHDRAWN,Low enrollment/accrual,2013
NCT00739206,Gabon,TERMINATED,Efficacy not met,2008
NCT00739206,Burkina Faso,TERMINATED,Efficacy not met,2008
NCT00739206,Tanzania,TERMINATED,Efficacy not met,2008
NCT00739206,Benin,TERMINATED,Efficacy not met,2008
NCT04730349,Germany,TERMINATED,Sponsor/business decision,2021
NCT04730349,Spain,TERMINATED,Sponsor/business decision,2021
NCT04730349,Australia,TERMINATED,Sponsor/business decision,2021
NCT04730349,Italy,TERMINATED,Sponsor/business decision,2021
NCT04730349,France,TERMINATED,Sponsor/business decision,2021
